DashboardElement,ElementType,Definition,ControllingSourceArtifact,SourceSHA256,ExtractionMethod,ValidationStatus,SourceClass,PublicDisclosureDecision,DisclosureRationale
FactValidationStatus.ValidationStatus,Field,PASS or PAUSED_VERIFIED,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Controlled vocabulary,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.EvidenceSummary,Field,Non-sensitive evidence summary,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Allowlisted summary,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.CheckOrder,Field,Validation-check order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Curated,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.SourceArtifactKey,Field,Provenance source key,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,Mapped,PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactValidationStatus.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.AnalyticalStatusKey,Field,Component-status key,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Controlled key,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.StageKey,Field,Project-stage foreign key,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Curated mapping,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.ModelSpecKey,Field,Optional M1-M3 foreign key,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Curated mapping,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.ComponentName,Field,Project-component label,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Curated,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.ComponentStatus,Field,"COMPLETE, IN PROGRESS, PENDING, or DEFERRED",outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Controlled vocabulary,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.StatusOrder,Field,Component-status sort order,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Controlled mapping,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.IndependentAuditStatus,Field,"PASS, PENDING, or NOT_APPLICABLE",outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Separate from file existence,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.NextAction,Field,Required continuation step,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Curated,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.StatusAsOf,Field,Status checkpoint date,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Checkpoint date,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.SourceArtifactKey,Field,Provenance source key,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Mapped,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactAnalyticalStatus.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.DemoMetricKey,Field,Synthetic demonstration metric key,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,9c0ef416b9fa6c77c580b286fe482eedb015ac85bb2ad91254a30cbe9153c80d,Generated,PASS,fictional synthetic demonstration QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.DemoSection,Field,Synthetic demonstration section,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,9c0ef416b9fa6c77c580b286fe482eedb015ac85bb2ad91254a30cbe9153c80d,Curated,PASS,fictional synthetic demonstration QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.Category,Field,Fictional category or schema family,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,60d699e7da0b36727ad9af78007540464e6ac703b888810df8b72d64dbc95aac,Copied from fictional output,PASS,fictional synthetic demonstration,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.MetricName,Field,Synthetic metric label,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,60d699e7da0b36727ad9af78007540464e6ac703b888810df8b72d64dbc95aac,Curated,PASS,fictional synthetic demonstration,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.MetricValue,Field,Synthetic metric value,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,60d699e7da0b36727ad9af78007540464e6ac703b888810df8b72d64dbc95aac,Copied from fictional output,PASS,fictional synthetic demonstration,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.DemoStatus,Field,Synthetic validation status,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,9c0ef416b9fa6c77c580b286fe482eedb015ac85bb2ad91254a30cbe9153c80d,Copied,PASS,fictional synthetic demonstration QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.SyntheticFlag,Field,Always true,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,9c0ef416b9fa6c77c580b286fe482eedb015ac85bb2ad91254a30cbe9153c80d,Validation flag,PASS,fictional synthetic demonstration QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.SourceArtifactKey,Field,Provenance source key,public_portfolio/synthetic_demo/expected_outputs/qa_summary.json,9c0ef416b9fa6c77c580b286fe482eedb015ac85bb2ad91254a30cbe9153c80d,Mapped,PASS,fictional synthetic demonstration QA,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
FactSyntheticDemonstration.DisclosureClass,Field,Synthetic public-safe classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
[Total Validated Encounters],Measure,Maximum allowlisted value for M001,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M001"")",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,One released record per encounter; not a patient count
[Completed Quarterly Partitions],Measure,Maximum allowlisted value for M002,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M002"")",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,"Counts partitions, not files"
[Covered Years],Measure,Distinct included years,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,"CALCULATE(DISTINCTCOUNT('DimPeriod'[Year]), 'DimPeriod'[AvailableFlag] = 1)",PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,2009 and 2025 are excluded
[Standardized Encounter Fields],Measure,Maximum allowlisted value for M004,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M004"")",PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Canonical fact fields only
[Schema Families],Measure,Maximum allowlisted value for M005,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M005"")",PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Approved source layouts
[Expected In-Scope Quarters],Measure,Maximum allowlisted value for M014,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M014"")",PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Excludes 2009 and 2025
[Phase 1 Completion %],Measure,Completed quarterly partitions divided by expected in-scope quarters,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"DIVIDE([Completed Quarterly Partitions], [Expected In-Scope Quarters])",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Engineering completion only
[Reconciled Available Quarters],Measure,Count available quarter rows with PASS reconciliation,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"CALCULATE(COUNTROWS('FactPartitionStatus'), 'FactPartitionStatus'[AvailableFlag] = 1, 'FactPartitionStatus'[ReconciliationStatus] = ""PASS"")",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,"Metadata status, no encounter volumes"
[Partition Reconciliation %],Measure,Reconciled available quarters divided by available quarters,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"DIVIDE([Reconciled Available Quarters], CALCULATE(COUNTROWS('FactPartitionStatus'), 'FactPartitionStatus'[AvailableFlag] = 1))",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Metadata status only
[Excluded Quarter Count],Measure,Count of excluded quarter rows,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,"CALCULATE(COUNTROWS('FactPartitionStatus'), 'FactPartitionStatus'[PartitionStatus] = ""EXCLUDED"")",PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Four quarters each for 2009 and 2025
[Primary Cohort Rows],Measure,Maximum allowlisted value for M008,public_portfolio/evidence/phase2_cohort_summary.json,dc9b7e2aa3d9eca598e2234e59ba2e06d7c1d751ee3adde4750412c74b0a502d,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M008"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Encounter rows; not unique patients
[Historical Cohort Rows],Measure,Maximum allowlisted value for M010,public_portfolio/evidence/historical_validation_summary.json,997c20a28713018b085f8788272c343b4d9cbab7f40eb874770bbcd7d563b168,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M010"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Kept separate from primary cohort
[Provider Master V2 NPIs],Measure,Maximum allowlisted value for PM001,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,"CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM001"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,"NPI count, not visit count"
[ED-Observed NPIs],Measure,Maximum allowlisted value for PM002,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,"CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM002"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Validated selected ED roles
[Newly Added ED-Observed NPIs],Measure,Maximum allowlisted value for PM004,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,"CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM004"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Measurement coverage correction
[Provider Coverage Gain %],Measure,Newly added ED-observed NPIs divided by ED-observed NPIs,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,"DIVIDE([Newly Added ED-Observed NPIs], [ED-Observed NPIs])",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,"Describes NPI coverage, not causal selection correction"
[ED-Observed MD/DO NPIs],Measure,Maximum allowlisted value for PM007,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,"CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM007"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Organizations excluded
[Organizational NPIs Classified as Physicians],Measure,Maximum allowlisted value for PM010,public_portfolio/evidence/provider_v2_summary.json,148ef0a0bd9a063c047b1705fdc527d30698a68a5ef668c2bb4c79e7316e3990,"CALCULATE(MAX('FactProviderMeasurement'[MetricValue]), 'FactProviderMeasurement'[MetricKey] = ""PM010"")",PASS,whitelisted public-safe aggregate evidence,INCLUDE_PUBLIC_SAFE,Fail-closed safeguard
[Facility Dimension Rows],Measure,Maximum allowlisted value for M006,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M006"")",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,One row per state facility identifier in the private dimension; no identifiers are displayed
[Enhancement Count],Measure,Number of enhancement rows,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,COUNTROWS('FactEnhancementCoverage'),PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Curated capability inventory
[Implemented Enhancements],Measure,Count implemented and primary-only implemented enhancements,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,"CALCULATE(COUNTROWS('FactEnhancementCoverage'), 'FactEnhancementCoverage'[ImplementationStatus] IN {""IMPLEMENTED"", ""IMPLEMENTED_PRIMARY_ONLY""})",PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Primary-only scope must remain visible
[Proxy-Only Enhancements],Measure,Count proxy-only enhancements,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,"CALCULATE(COUNTROWS('FactEnhancementCoverage'), 'FactEnhancementCoverage'[ImplementationStatus] = ""PROXY_ONLY"")",PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,E/M acuity is not triage
[Structurally Unavailable Measures],Measure,Count structurally unavailable requested measures,outputs/florida_ed_full_build_20260724/documentation/fact_field_dictionary.csv,6dc8fe59912703773c4fe6d305593469f5e91b26e2abcff6ad3b08bf64b81581,"CALCULATE(COUNTROWS('FactEnhancementCoverage'), 'FactEnhancementCoverage'[ImplementationStatus] = ""STRUCTURALLY_UNAVAILABLE"")",PASS,metadata dictionary,INCLUDE_PUBLIC_SAFE,Unavailable values were not fabricated
[Validation Controls],Measure,Number of high-value validation controls,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,COUNTROWS('FactValidationStatus'),PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,"Curated dashboard controls, not every underlying test"
[Passed Validation Controls],Measure,Count controls with PASS,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"CALCULATE(COUNTROWS('FactValidationStatus'), 'FactValidationStatus'[ValidationStatus] = ""PASS"")",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Pause checkpoint is separately PAUSED_VERIFIED
[Validation Pass %],Measure,PASS controls divided by controls excluding the pause-state row,outputs/florida_ed_full_build_20260724/qa/qa_summary.json,5b66d41517eb0ea47f5fef09ad66cd695a29cd79152d9ad35a4eef4a8753bf3b,"DIVIDE([Passed Validation Controls], CALCULATE(COUNTROWS('FactValidationStatus'), 'FactValidationStatus'[ValidationStatus] <> ""PAUSED_VERIFIED""))",PASS,validated aggregate QA,INCLUDE_PUBLIC_SAFE,Does not imply analytical release PASS
[Completed Components],Measure,Count components labeled COMPLETE,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,"CALCULATE(COUNTROWS('FactAnalyticalStatus'), 'FactAnalyticalStatus'[ComponentStatus] = ""COMPLETE"")",PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Completion and audit are separate columns
[Pending Components],Measure,Count components labeled PENDING,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,"CALCULATE(COUNTROWS('FactAnalyticalStatus'), 'FactAnalyticalStatus'[ComponentStatus] = ""PENDING"")",PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Pending does not mean failed
[Deferred Components],Measure,Count components labeled DEFERRED,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,"CALCULATE(COUNTROWS('FactAnalyticalStatus'), 'FactAnalyticalStatus'[ComponentStatus] = ""DEFERRED"")",PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Deferred by user
[Synthetic Input Rows],Measure,Sum synthetic input rows in schema reconciliation section,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,60d699e7da0b36727ad9af78007540464e6ac703b888810df8b72d64dbc95aac,"CALCULATE(SUM('FactSyntheticDemonstration'[MetricValue]), 'FactSyntheticDemonstration'[DemoSection] = ""Schema reconciliation"", 'FactSyntheticDemonstration'[MetricName] = ""Input rows"")",PASS,fictional synthetic demonstration,INCLUDE_PUBLIC_SAFE,Fictional only
[Synthetic Output Rows],Measure,Sum synthetic output rows in schema reconciliation section,public_portfolio/synthetic_demo/expected_outputs/schema_reconciliation.csv,60d699e7da0b36727ad9af78007540464e6ac703b888810df8b72d64dbc95aac,"CALCULATE(SUM('FactSyntheticDemonstration'[MetricValue]), 'FactSyntheticDemonstration'[DemoSection] = ""Schema reconciliation"", 'FactSyntheticDemonstration'[MetricName] = ""Output rows"")",PASS,fictional synthetic demonstration,INCLUDE_PUBLIC_SAFE,Fictional only
[Selected Period Label],Measure,Dynamic selected-period label,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,"VAR MinYear = MIN('DimPeriod'[Year]) VAR MaxYear = MAX('DimPeriod'[Year]) RETURN IF(NOT ISFILTERED('DimPeriod'[Year]) && NOT ISFILTERED('DimPeriod'[PeriodGroup]), ""All project periods"", IF(MinYear = MaxYear, FORMAT(MinYear, ""0""), FORMAT(MinYear, ""0"") & ""-"" & FORMAT(MaxYear, ""0"")))",PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Display text only
[Dashboard Overall Status],Measure,Controlled current-status statement,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,"""Phase 1 complete and independently validated. Phase 2 measurement, cohort construction, historical analyses, and primary race M1-M3 estimation complete; primary gender M1 complete. Remaining primary and sensitivity analyses and the final independent analytical-release audit are pending.""",PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Does not claim analytical-release completion
